station,a_teen,a_college,a_adult,a_mid,a_old,r_native,r_asian,r_black,r_latino,r_unknown,r_white,sex_f,s_m,sex_u,total
88 St,1,14,18,13,3,0,3,17,22,5,2,1,48,0,49
9 Av,0,7,5,12,0,1,3,5,12,1,2,5,19,0,24
90 St-ELMHURST Av,7,268,560,248,21,4,47,12,961,58,24,255,846,5,1106
95 St-BAY RIDGE,0,2,1,2,0,0,0,0,3,1,1,1,4,0,5
96 St,23,491,566,229,28,3,104,308,604,37,286,368,967,7,1342
96TH St,0,55,87,34,6,0,18,59,50,14,41,56,126,0,182
9TH St,4,22,29,12,3,0,6,23,28,1,12,12,58,0,70
ALABAMA Av,0,10,22,2,1,1,0,25,8,0,1,3,32,0,35
ALLERTON Av,2,34,64,43,5,0,5,70,63,2,8,19,129,0,148
AQUEDUCT-NORTH CONDUIT Av,0,4,4,6,0,0,4,4,3,2,1,2,12,0,14
AQUEDUCT-RACETRACK,0,12,46,73,19,2,38,56,36,9,10,32,119,0,151
ASTOR PLACE,1,41,20,10,0,0,7,13,25,4,23,13,59,0,72
ASTORIA BLVD.,1,54,96,20,4,0,14,15,89,22,36,24,152,0,176
ATLANTIC Av,15,436,562,177,26,3,66,590,305,51,206,338,879,4,1221
"AVENUE ""H""",0,8,19,7,1,0,5,9,9,1,11,10,25,0,35
"AVENUE ""I""",0,2,0,2,0,0,0,0,2,2,0,0,4,0,4
"AVENUE ""J""",0,6,21,6,0,0,6,7,8,0,12,5,28,0,33
"AVENUE ""M""",0,12,55,30,3,1,9,17,25,3,45,37,62,1,100
"AVENUE ""N""",0,0,1,2,0,0,1,0,0,1,1,1,2,0,3
"AVENUE ""P""",0,3,3,2,0,0,1,1,0,1,5,2,5,1,8
"AVENUE ""U""",0,17,39,17,5,0,7,9,21,6,35,22,55,1,78
"AVENUE ""X""",0,0,0,1,0,0,0,0,0,0,1,0,1,0,1
BAY 50 St,0,2,15,12,1,0,9,5,10,0,6,8,22,0,30
BAY PARKWAY,0,31,69,42,1,1,43,10,47,4,38,52,90,1,143
BAY RIDGE Av,0,8,16,21,1,0,8,5,18,2,13,12,34,0,46
BAYCHESTER Av,0,19,29,8,1,0,0,41,16,0,0,8,49,0,57
BEACH 105 St,0,1,1,0,0,0,0,1,1,0,0,0,2,0,2
BEACH 25 St,1,22,24,11,0,0,1,38,13,3,3,12,46,0,58
BEACH 36 St,0,11,16,4,0,0,0,19,10,1,1,3,28,0,31
BEACH 44 St,1,6,6,8,0,0,0,12,5,1,3,6,14,1,21
BEACH 60 St,0,16,29,16,4,0,1,45,12,6,3,5,62,0,67
BEACH 67 St,1,56,69,26,2,3,2,78,48,8,16,37,118,0,155
BEACH 90 St,0,1,2,1,0,0,0,3,0,0,1,0,4,0,4
BEACH 98 St,0,8,10,12,2,0,0,14,14,1,4,6,27,0,33
BEDFORD Av,2,130,179,28,2,0,30,46,84,9,172,91,247,3,341
BEDFORD PK. BLVD.,0,8,15,2,0,0,0,4,19,1,1,4,21,0,25
BEDFORD PK. BLVD.-LEHMAN COLLEGE,3,53,111,62,3,0,3,52,166,4,7,17,215,0,232
BEDFORD-NOSTRAND Avs,1,51,81,19,2,0,11,31,40,4,69,58,96,1,155
BERGEN St,0,20,45,14,3,1,6,21,27,5,22,25,57,0,82
BEVERLEY Rd,0,3,4,1,0,0,0,3,3,0,2,3,5,0,8
BEVERLY Rd,0,10,36,5,0,1,1,32,13,1,3,7,44,0,51
