station,a_teen,a_college,a_adult,a_mid,a_old,a_unkown,r_native,r_asian,r_black,r_latino,r_unknown,r_white,sex_f,s_m,sex_u,total
138 ST.-GRAND CONCOURSE,1,9,13,1,0,0,0,0,9,13,0,2,4,20,0,24
"4,5",1,9,13,1,0,0,0,0,9,13,0,2,4,20,0,24
149 ST.-GRAND CONCOURSE,0,23,50,24,0,0,0,3,48,38,0,8,10,86,1,97
"2,5",0,2,3,4,0,0,0,1,6,2,0,0,1,7,1,9
4,0,21,47,20,0,0,0,2,42,36,0,8,9,79,0,88
161 ST.-YANKEE STADIUM,2,113,212,105,15,0,1,8,164,225,17,32,38,406,3,447
4,1,47,100,72,11,0,0,4,72,132,6,17,22,207,2,231
"B,D",1,66,112,33,4,0,1,4,92,93,11,15,16,199,1,216
167 STREET,0,7,11,1,0,0,0,0,5,14,0,0,4,15,0,19
4,0,5,10,1,0,0,0,0,5,11,0,0,4,12,0,16
"B,D",0,2,1,0,0,0,0,0,0,3,0,0,0,3,0,3
170 STREET,1,26,45,25,0,0,0,0,34,60,0,3,13,84,0,97
4,1,25,38,20,0,0,0,0,31,50,0,3,13,71,0,84
"B,D",0,1,7,5,0,0,0,0,3,10,0,0,0,13,0,13
174-175 STREETS,0,6,6,1,0,0,0,0,6,7,0,0,1,12,0,13
"B,D",0,6,6,1,0,0,0,0,6,7,0,0,1,12,0,13
176 STREET,0,8,14,5,0,0,0,0,11,13,1,2,3,24,0,27
4,0,8,14,5,0,0,0,0,11,13,1,2,3,24,0,27
182-183 STREETS,0,11,13,4,0,0,0,1,11,14,0,2,0,28,0,28
"B,D",0,11,13,4,0,0,0,1,11,14,0,2,0,28,0,28
183 STREET,0,8,4,7,0,0,0,1,0,17,1,0,2,17,0,19
4,0,8,4,7,0,0,0,1,0,17,1,0,2,17,0,19
205 ST.-NORWOOD,0,2,9,2,0,0,0,0,6,6,0,1,1,12,0,13
D,0,2,9,2,0,0,0,0,6,6,0,1,1,12,0,13
219 STREET,0,9,9,5,0,0,0,0,14,7,2,0,1,21,1,23
"2,5",0,9,9,5,0,0,0,0,14,7,2,0,1,21,1,23
225 STREET,0,8,15,2,1,0,0,0,17,9,0,0,2,24,0,26
"2,5",0,8,15,2,1,0,0,0,17,9,0,0,2,24,0,26
