station,a_teen,a_college,a_adult,a_mid,a_old,a_unkown,r_native,r_asian,r_black,r_latino,r_unknown,r_white,sex_f,s_m,sex_u,total
138 ST.-GRAND CONCOURSE,3,30,38,13,2,1,0,3,35,41,3,5,16,71,0,87
"4,5",3,30,38,13,2,1,0,3,35,41,3,5,16,71,0,87
149 ST.-GRAND CONCOURSE,3,30,71,32,3,0,0,0,60,66,2,11,24,115,0,139
"2,5",0,1,2,0,0,0,0,0,2,1,0,0,0,3,0,3
4,3,29,69,32,3,0,0,0,58,65,2,11,24,112,0,136
161 ST.-YANKEE STADIUM,6,103,188,107,8,0,0,4,144,234,10,20,40,371,1,412
4,5,46,98,60,6,0,0,2,64,134,4,11,24,190,1,215
"B,D",1,57,90,47,2,0,0,2,80,100,6,9,16,181,0,197
167 STREET,0,13,29,12,1,0,0,1,23,28,0,3,3,51,1,55
4,0,10,24,10,1,0,0,1,22,20,0,2,3,41,1,45
"B,D",0,3,5,2,0,0,0,0,1,8,0,1,0,10,0,10
170 STREET,2,35,85,40,5,0,0,2,70,88,3,4,13,154,0,167
4,1,22,62,27,3,0,0,2,47,62,3,1,8,107,0,115
"B,D",1,13,23,13,2,0,0,0,23,26,0,3,5,47,0,52
174-175 STREETS,1,2,4,4,1,0,0,1,6,5,0,0,1,11,0,12
"B,D",1,2,4,4,1,0,0,1,6,5,0,0,1,11,0,12
176 STREET,1,13,16,5,0,0,0,0,15,18,0,2,5,30,0,35
4,1,13,16,5,0,0,0,0,15,18,0,2,5,30,0,35
182-183 STREETS,0,18,25,8,1,1,0,0,20,31,1,1,6,47,0,53
"B,D",0,18,25,8,1,1,0,0,20,31,1,1,6,47,0,53
183 STREET,0,5,9,6,0,0,0,0,8,10,0,2,4,16,0,20
4,0,5,9,6,0,0,0,0,8,10,0,2,4,16,0,20
205 ST.-NORWOOD,0,15,15,8,1,0,0,0,9,30,0,0,13,26,0,39
D,0,15,15,8,1,0,0,0,9,30,0,0,13,26,0,39
219 STREET,0,7,10,4,2,0,0,0,12,10,1,0,2,21,0,23
"2,5",0,7,10,4,2,0,0,0,12,10,1,0,2,21,0,23
225 STREET,0,5,3,5,0,0,0,0,8,4,1,0,0,13,0,13
"2,5",0,5,3,5,0,0,0,0,8,4,1,0,0,13,0,13
233 STREET,0,7,13,8,2,0,0,0,13,16,0,1,5,25,0,30
"2,5",0,7,13,8,2,0,0,0,13,16,0,1,5,25,0,30
238 ST.-NEREID AVE.,0,1,2,1,0,0,0,0,3,1,0,0,0,4,0,4
"2,5",0,1,2,1,0,0,0,0,3,1,0,0,0,4,0,4
241 ST.-WAKEFIELD,1,22,39,13,3,0,0,3,47,23,1,4,11,67,0,78
2,1,22,39,13,3,0,0,3,47,23,1,4,11,67,0,78
3 AVENUE-138 STREET,5,49,53,26,2,0,0,6,61,65,2,1,24,111,0,135
6,5,49,53,26,2,0,0,6,61,65,2,1,24,111,0,135
3 AVENUE-149 STREET,0,78,139,86,4,0,1,7,136,143,7,13,40,267,0,307
"2,5",0,78,139,86,4,0,1,7,136,143,7,13,40,267,0,307
ALLERTON AVENUE,1,13,28,17,4,0,0,1,29,30,1,2,12,51,0,63
"2,5",1,13,28,17,4,0,0,1,29,30,1,2,12,51,0,63
BAYCHESTER AVENUE,0,4,9,4,0,0,0,0,12,5,0,0,2,15,0,17
5,0,4,9,4,0,0,0,0,12,5,0,0,2,15,0,17
BEDFORD PK. BLVD.,0,4,3,0,0,0,0,0,1,5,0,1,2,5,0,7
"B,D",0,4,3,0,0,0,0,0,1,5,0,1,2,5,0,7
BEDFORD PK. BLVD.-LEHMAN COLLEGE,1,20,34,17,1,0,0,0,19,50,1,3,7,66,0,73
4,1,20,34,17,1,0,0,0,19,50,1,3,7,66,0,73
BRONX PARK EAST,1,27,32,14,2,0,1,8,25,32,3,7,12,64,0,76
"2,5",1,27,32,14,2,0,1,8,25,32,3,7,12,64,0,76
BROOK AVENUE,2,42,57,26,3,1,0,2,56,62,2,9,4,127,0,131
6,2,42,57,26,3,1,0,2,56,62,2,9,4,127,0,131
BURKE AVENUE,2,7,15,5,1,0,0,2,17,7,2,2,9,20,1,30
"2,5",2,7,15,5,1,0,0,2,17,7,2,2,9,20,1,30
BURNSIDE AVENUE,3,39,66,26,6,1,1,2,66,61,4,7,11,130,0,141
4,3,39,66,26,6,1,1,2,66,61,4,7,11,130,0,141
