station,a_teen,a_college,a_adult,a_mid,a_old,r_native,r_asian,r_black,r_latino,r_unknown,r_white,sex_f,s_m,sex_u,total
LAFAYETTE AVENUE,0,17,8,12,0,0,2,14,14,3,4,7,30,0,37
LAWRENCE STREET,0,10,7,2,0,0,2,7,4,0,6,7,12,0,19
LEFFERTS BLVD.,1,23,41,22,5,1,17,41,18,13,2,11,81,0,92
LEXINGTON AVE.,5,58,78,30,5,0,28,24,69,11,44,47,129,0,176
LEXINGTON AVENUE,1,101,157,63,17,6,55,58,95,10,115,120,218,1,339
LIBERTY AVENUE,0,12,23,11,0,1,2,15,15,4,9,7,39,0,46
LIVONIA AVENUE,4,105,116,55,5,0,9,193,59,2,22,63,222,0,285
LONGWOOD AVENUE,0,17,20,15,0,1,0,18,30,1,2,2,50,0,52
LORIMER STREET,6,172,249,41,5,1,58,76,123,8,212,148,329,1,478
M,0,18,30,6,1,0,4,15,20,3,13,16,38,1,55
"M,N,Q,R",6,95,117,28,5,1,47,56,109,6,32,70,181,0,251
"M,R",11,253,442,195,18,8,165,79,464,101,102,239,673,7,919
MAIN ST.-FLUSHING,24,583,812,298,48,1,331,78,1188,89,82,439,1327,3,1769
MARCY AVENUE,2,100,141,28,3,0,19,47,80,8,120,52,222,0,274
METROPOLITAN AVENUE,2,53,102,18,1,0,16,47,55,4,54,59,116,1,176
MIDDLETOWN ROAD,0,0,3,1,0,0,0,1,2,0,1,0,4,0,4
MONTROSE AVENUE,0,26,19,6,0,0,4,9,14,1,23,21,30,0,51
MORGAN AVENUE,3,143,250,35,5,0,29,88,85,21,213,104,331,1,436
MORRIS PARK,0,0,6,1,0,0,1,3,1,0,2,2,5,0,7
MOSHOLU PKWY.,0,33,46,31,4,0,4,28,74,1,7,7,107,0,114
MT. EDEN AVENUE,0,27,42,18,5,0,0,23,67,0,2,9,83,0,92
MYRTLE AVENUE,2,86,130,27,0,0,11,85,62,12,75,50,193,2,245
MYRTLE-WILLOUGHBY AVENUES,0,13,23,4,3,0,4,9,18,0,12,11,32,0,43
MYRTLE/WYCKOFF AVENUES,4,102,230,58,1,1,18,39,235,13,90,69,324,3,396
N,2,139,277,186,24,3,257,36,209,25,99,203,423,3,629
"N,Q",4,145,205,49,5,0,29,41,211,43,85,60,348,1,409
"N,Q,7",1,95,119,37,3,2,35,28,153,9,28,66,188,1,255
"N,Q,R",22,451,535,153,18,5,137,186,491,69,300,274,906,8,1188
"N,R",3,154,234,96,11,3,68,77,239,21,91,97,402,0,499
NASSAU AVENUE,2,38,74,27,3,0,17,11,61,5,50,45,99,0,144
NECK ROAD,0,10,12,2,0,0,2,4,4,0,14,9,15,0,24
NEPTUNE AVENUE,0,3,4,2,1,0,1,0,3,0,6,3,7,0,10
NEVINS STREET,0,38,70,21,2,0,12,67,32,2,18,27,104,0,131
NEW LOTS AVENUE,1,24,29,12,2,0,0,49,12,2,5,12,56,0,68
NEW UTRECHT AVENUE,0,4,9,4,0,0,4,2,10,0,1,5,12,0,17
NEWKIRK AVENUE,4,32,48,21,2,0,2,59,23,4,20,22,85,1,108
NORTHERN BLVD.,0,7,18,4,0,1,2,2,22,1,1,1,27,1,29
NORWOOD AVENUE,0,7,8,3,0,0,0,10,7,0,1,1,17,0,18
NOSTRAND AVENUE,11,278,514,144,10,7,69,421,219,20,225,258,699,4,961
OCEAN PKWY,0,9,24,16,0,0,4,6,10,3,26,23,26,0,49
OFF-SYSTEM,4,38,87,28,8,0,18,57,56,2,32,36,127,2,165
PACIFIC STREET,2,79,140,66,6,2,35,85,91,23,58,77,217,0,294
PARK PLACE,0,1,0,1,0,0,1,1,0,0,0,1,1,0,2
PARKSIDE AVENUE,0,9,6,2,0,0,1,7,4,1,4,5,12,0,17
PARSONS BLVD.,0,51,92,39,0,4,12,41,92,23,10,31,151,0,182
PARSONS/ARCHER-JAMAICA CENTER,3,56,75,31,0,0,2,71,75,15,3,22,143,1,166
PELHAM BAY PARK,4,9,8,7,1,0,1,11,17,0,0,5,24,0,29
PELHAM PKWY.,0,20,33,20,1,0,4,29,35,1,6,11,64,0,75
PENNSYLVANIA AVENUE,1,10,16,9,0,0,0,23,11,0,2,16,20,0,36
PRESIDENT STREET,0,11,8,4,2,0,1,12,10,1,2,4,21,1,26
PRINCE STREET,1,23,28,8,2,0,13,10,18,4,17,18,44,0,62
PROSPECT AVENUE,6,101,171,63,9,0,12,147,156,11,24,65,284,1,350
PROSPECT PARK,2,55,79,36,3,0,9,97,24,2,43,44,131,0,175
Q,2,197,370,169,22,2,84,155,181,30,308,262,496,2,760
"Q,F",1,15,13,11,0,0,3,9,12,4,13,12,29,0,41
QUEENS PLAZA,0,35,55,18,1,1,18,11,61,6,12,24,85,0,109
QUEENSBORO PLAZA,1,95,119,37,3,2,35,28,153,9,28,66,188,1,255
R,13,180,373,169,19,5,67,175,331,30,148,156,597,3,756
RALPH AVENUE,2,80,133,39,3,0,11,163,33,3,47,44,212,1,257
RECTOR STREET,0,6,4,1,0,1,1,3,5,0,1,4,7,0,11
ROCKAWAY AVENUE,5,49,82,37,4,1,5,115,34,5,18,26,152,0,178
ROCKAWAY BLVD.,5,95,163,79,7,4,40,112,154,16,24,74,276,0,350
ROCKAWAY PARK-BEACH 116 ST.,0,0,2,1,0,0,1,0,2,0,0,0,3,0,3
ROCKAWAY PKWY-CANARSIE,0,18,33,16,3,0,1,48,17,2,3,8,63,0,71
ROOSEVELT AVE.-JACKSON HEIGHTS,22,517,800,296,28,19,318,53,1048,145,81,361,1297,6,1664
ROOSEVELT ISLAND,0,4,3,1,0,0,0,3,4,1,0,2,6,0,8
S,72,1378,1456,391,52,20,311,717,1393,138,775,886,2457,11,3354
SARATOGA AVENUE,2,31,36,9,1,1,4,57,15,1,2,10,70,0,80
SENECA AVENUE,0,2,2,2,0,0,0,2,3,0,1,2,4,0,6
SHEEPSHEAD BAY,7,102,130,66,4,1,25,52,58,18,155,82,224,3,309
SHEPHERD AVENUE,0,3,12,6,0,0,2,12,6,0,1,2,19,0,21
SIMPSON STREET,6,229,308,134,14,0,9,325,327,1,30,70,621,1,692
SMITH-9 STREETS,0,17,19,4,0,0,5,14,11,0,10,7,33,0,40
SOUNDVIEW AVENUE,3,100,165,70,4,1,4,89,231,6,11,34,307,1,342
SOUTH FERRY,11,150,182,74,11,1,23,140,158,22,85,95,332,2,429
SPRING STREET,2,75,105,39,3,2,23,56,80,6,59,60,166,0,226
ST. LAWRENCE AVENUE,1,61,79,28,3,0,10,47,105,8,2,10,161,1,172
STEINWAY ST.,0,12,10,0,2,0,3,2,11,6,2,5,19,0,24
STERLING STREET,0,14,36,13,2,1,0,33,15,1,15,19,46,0,65
STILLWELL AVENUE-CONEY ISLAND,15,307,638,350,44,2,74,576,423,31,250,323,1031,2,1356
SUTPHIN BLVD.,6,113,145,72,5,4,47,33,207,33,17,77,263,1,341
SUTPHIN BLVD.-ARCHER AVE.,10,167,345,174,25,1,54,207,251,94,117,219,497,8,724
SUTTER AVENUE,0,12,20,6,1,0,1,20,16,0,2,4,34,1,39
SUTTER AVENUE-RUTLAND ROAD,3,70,95,40,5,0,4,146,52,5,8,43,172,0,215
TREMONT AVENUE,1,21,44,35,4,0,1,30,64,2,8,12,93,0,105
UNION SQUARE,6,112,121,28,4,0,23,54,105,10,79,70,199,2,271
UNION STREET,1,30,58,18,0,0,7,24,43,3,30,24,82,1,107
UNION TURNPIKE-KEW GARDENS,6,79,96,47,5,2,35,31,131,12,22,73,160,0,233
UTICA AVE.-CROWN HEIGHTS,6,236,330,128,19,2,23,444,153,13,87,175,545,2,722
UTICA AVENUE,3,105,182,47,6,2,11,157,57,15,102,68,274,2,344
VAN SICLEN AVENUE,3,27,63,14,0,0,2,53,39,2,12,19,89,0,108
VAN WYCK BLVD.-BRIARWOOD,0,10,8,13,1,0,6,1,16,3,6,11,21,0,32
VERNON BLVD.-JACKSON AVE.,2,26,31,10,0,0,13,2,32,6,16,20,49,0,69
W. 4 STREET,5,447,371,72,12,2,86,174,227,43,378,251,658,1,910
WALL STREET,0,11,11,2,0,1,3,5,10,2,3,6,18,0,24
WEST 8 STREET-NY AQUARIUM,1,15,13,11,0,0,3,9,12,4,13,12,29,0,41
WHITEHALL ST.-SOUTH FERRY,2,9,12,6,1,0,4,9,14,2,1,6,23,1,30
WHITLOCK AVENUE,3,34,48,9,2,0,1,42,51,1,1,14,82,0,96
WILLETS POINT-SHEA STADIUM,2,42,67,18,1,0,4,59,55,2,10,16,114,0,130
WILSON AVENUE,0,29,31,8,2,0,1,21,26,3,20,13,57,1,71
WINTHROP STREET,1,36,47,15,4,0,8,58,17,2,18,19,83,1,103
WOODHAVEN BLVD.,6,93,140,66,4,1,36,46,166,31,29,78,227,4,309
WOODLAWN,5,156,248,127,18,1,10,196,292,10,46,49,504,2,555
WYCKOFF AVENUE,0,5,7,3,0,0,1,2,8,1,3,6,9,0,15
YORK STREET,0,25,35,17,1,1,10,16,24,2,25,22,56,0,78
ZEREGA AVENUE,1,6,3,5,0,0,0,4,9,1,1,0,15,0,15
