station,a_teen,a_college,a_adult,a_mid,a_old,a_unkown,r_native,r_asian,r_black,r_latino,r_unknown,r_white,sex_f,s_m,sex_u,total
138 ST.-GRAND CONCOURSE,0,6,19,9,0,0,0,0,14,19,0,1,3,31,0,34
"4,5",0,6,19,9,0,0,0,0,14,19,0,1,3,31,0,34
149 ST.-GRAND CONCOURSE,0,48,116,55,3,1,0,1,101,107,2,12,39,183,1,223
"2,5",0,1,4,3,0,0,0,0,4,4,0,0,4,4,0,8
4,0,47,112,52,3,1,0,1,97,103,2,12,35,179,1,215
161 ST.-YANKEE STADIUM,4,92,175,89,8,1,0,3,172,158,8,28,32,336,1,369
4,0,13,43,24,0,0,0,1,28,46,0,5,5,75,0,80
"B,D",4,79,132,65,8,1,0,2,144,112,8,23,27,261,1,289
167 STREET,0,16,20,10,2,0,0,0,19,26,3,0,10,38,0,48
4,0,6,7,4,1,0,0,0,7,11,0,0,1,17,0,18
"B,D",0,10,13,6,1,0,0,0,12,15,3,0,9,21,0,30
170 STREET,0,35,54,21,1,0,0,1,49,55,0,6,9,102,0,111
4,0,16,24,10,0,0,0,0,16,29,0,5,5,45,0,50
"B,D",0,19,30,11,1,0,0,1,33,26,0,1,4,57,0,61
174-175 STREETS,0,10,13,5,1,0,0,0,9,19,1,0,4,25,0,29
"B,D",0,10,13,5,1,0,0,0,9,19,1,0,4,25,0,29
176 STREET,0,20,26,19,0,0,0,0,30,32,2,1,6,59,0,65
4,0,20,26,19,0,0,0,0,30,32,2,1,6,59,0,65
182-183 STREETS,0,8,15,6,0,0,0,1,14,14,0,0,4,25,0,29
"B,D",0,8,15,6,0,0,0,1,14,14,0,0,4,25,0,29
183 STREET,0,8,11,5,0,0,0,0,11,12,0,1,3,21,0,24
4,0,8,11,5,0,0,0,0,11,12,0,1,3,21,0,24
205 ST.-NORWOOD,0,6,2,1,0,0,0,0,6,3,0,0,1,8,0,9
D,0,6,2,1,0,0,0,0,6,3,0,0,1,8,0,9
219 STREET,0,5,5,2,1,0,0,0,7,4,0,2,0,13,0,13
"2,5",0,5,5,2,1,0,0,0,7,4,0,2,0,13,0,13
225 STREET,0,3,3,2,0,0,0,0,4,3,0,1,1,7,0,8
"2,5",0,3,3,2,0,0,0,0,4,3,0,1,1,7,0,8
233 STREET,1,17,23,11,3,0,0,2,29,21,1,2,3,52,0,55
"2,5",1,17,23,11,3,0,0,2,29,21,1,2,3,52,0,55
238 ST.-NEREID AVE.,0,0,2,6,0,0,0,1,3,4,0,0,1,7,0,8
"2,5",0,0,2,6,0,0,0,1,3,4,0,0,1,7,0,8
241 ST.-WAKEFIELD,0,11,18,8,1,0,1,0,26,10,0,1,1,37,0,38
2,0,11,18,8,1,0,1,0,26,10,0,1,1,37,0,38
3 AVENUE-138 STREET,1,15,34,12,6,0,0,0,23,39,2,4,12,56,0,68
6,1,15,34,12,6,0,0,0,23,39,2,4,12,56,0,68
3 AVENUE-149 STREET,1,42,71,48,8,0,2,5,66,88,2,7,32,138,0,170
"2,5",1,42,71,48,8,0,2,5,66,88,2,7,32,138,0,170
ALLERTON AVENUE,0,3,4,5,0,0,0,0,6,6,0,0,1,11,0,12
"2,5",0,3,4,5,0,0,0,0,6,6,0,0,1,11,0,12
BAYCHESTER AVENUE,0,7,9,3,0,0,0,0,14,5,0,0,3,16,0,19
5,0,7,9,3,0,0,0,0,14,5,0,0,3,16,0,19
BEDFORD PK. BLVD.,0,0,4,0,0,0,0,0,0,4,0,0,0,4,0,4
"B,D",0,0,4,0,0,0,0,0,0,4,0,0,0,4,0,4
BEDFORD PK. BLVD.-LEHMAN COLLEGE,0,1,3,4,0,0,0,2,2,4,0,0,0,8,0,8
4,0,1,3,4,0,0,0,2,2,4,0,0,0,8,0,8
BRONX PARK EAST,1,6,11,9,0,0,0,4,9,11,1,2,3,24,0,27
"2,5",1,6,11,9,0,0,0,4,9,11,1,2,3,24,0,27
BROOK AVENUE,0,21,40,22,5,0,0,0,43,41,2,2,9,79,0,88
6,0,21,40,22,5,0,0,0,43,41,2,2,9,79,0,88
BUHRE AVENUE,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1
6,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1
BURKE AVENUE,2,7,9,3,3,0,0,1,13,9,0,1,2,22,0,24
"2,5",2,7,9,3,3,0,0,1,13,9,0,1,2,22,0,24
BURNSIDE AVENUE,1,31,33,12,3,0,0,0,39,39,1,1,11,68,1,80
4,1,31,33,12,3,0,0,0,39,39,1,1,11,68,1,80
CASTLE HILL AVENUE,0,16,19,6,1,0,0,2,14,24,1,1,4,38,0,42
6,0,16,19,6,1,0,0,2,14,24,1,1,4,38,0,42
CYPRESS AVENUE,1,9,9,5,1,0,0,1,6,18,0,0,2,23,0,25
6,1,9,9,5,1,0,0,1,6,18,0,0,2,23,0,25
DYRE AVE.-EASTCHESTER,0,0,2,0,1,0,0,0,3,0,0,0,0,3,0,3
5,0,0,2,0,1,0,0,0,3,0,0,0,0,3,0,3
EAST 143 ST.-ST. MARYS STREET,0,2,2,0,0,0,0,0,2,2,0,0,0,4,0,4
6,0,2,2,0,0,0,0,0,2,2,0,0,0,4,0,4
EAST 149 STREET,0,5,19,7,1,0,0,0,9,23,0,0,5,27,0,32
6,0,5,19,7,1,0,0,0,9,23,0,0,5,27,0,32
EAST 174 STREET,0,7,20,11,3,0,0,0,20,19,0,2,2,39,0,41
"2,5",0,7,20,11,3,0,0,0,20,19,0,2,2,39,0,41
EAST 177 ST.-PARKCHESTER,1,33,44,29,3,0,1,9,38,60,2,0,16,94,0,110
6,1,33,44,29,3,0,1,9,38,60,2,0,16,94,0,110
EAST 180 STREET,2,31,67,42,4,1,2,5,60,69,4,7,25,121,1,147
"2,5",2,31,67,42,4,1,2,5,60,69,4,7,25,121,1,147
EAST TREMONT AV.-WESTCHESTER SQ.,1,3,1,0,1,0,0,0,1,3,0,2,0,6,0,6
6,1,3,1,0,1,0,0,0,1,3,0,2,0,6,0,6
EAST TREMONT AVE.-WEST FARMS SQ.,0,5,13,7,0,0,1,1,9,11,1,2,4,21,0,25
"2,5",0,5,13,7,0,0,1,1,9,11,1,2,4,21,0,25
ELDER AVENUE,0,18,23,12,3,0,0,2,18,35,0,1,7,48,1,56
6,0,18,23,12,3,0,0,2,18,35,0,1,7,48,1,56
Fordham Rd/Grand Concource,0,12,10,3,1,0,0,1,7,17,0,1,2,24,0,26
"B,D",0,12,10,3,1,0,0,1,7,17,0,1,2,24,0,26
FORDHAM ROAD,0,14,26,23,3,0,0,1,20,42,2,1,6,60,0,66
4,0,14,26,23,3,0,0,1,20,42,2,1,6,60,0,66
FREEMAN STREET,0,6,11,3,0,0,0,0,8,10,1,1,1,19,0,20
"2,5",0,6,11,3,0,0,0,0,8,10,1,1,1,19,0,20
GUN HILL ROAD,1,35,81,27,4,0,0,3,85,54,2,4,13,134,1,148
"2,5",1,29,73,23,2,0,0,3,72,48,2,3,12,115,1,128
5,0,6,8,4,2,0,0,0,13,6,0,1,1,19,0,20
HUNTS POINT AVENUE,0,36,38,18,5,0,0,2,44,45,2,4,9,88,0,97
6,0,36,38,18,5,0,0,2,44,45,2,4,9,88,0,97
INTERVALE AVENUE,0,4,9,8,0,0,0,1,6,12,0,2,3,18,0,21
"2,5",0,4,9,8,0,0,0,1,6,12,0,2,3,18,0,21
